,Feature,SHAP Importance
624,Model_521,0.0
215,Model_63,0.0
626,Model_523,0.0
627,Model_524,0.0
628,Model_525,0.0
214,Model_60,0.0
630,Model_527,0.0
632,Model_529,0.0
633,Model_530,0.0
213,Model_59,0.0
635,Model_533,0.0
212,Model_58,0.0
638,Model_536,0.0
639,Model_537,0.0
640,Model_539,0.0
576,Model_461,0.0
231,Model_79,0.0
488,Model_359,0.0
520,Model_397,0.0
512,Model_388,0.0
513,Model_389,0.0
260,Model_108,0.0
257,Model_105,0.0
516,Model_393,0.0
517,Model_394,0.0
518,Model_395,0.0
519,Model_396,0.0
521,Model_398,0.0
573,Model_457,0.0
77,Color_23,0.0
523,Model_400,0.0
255,Model_103,0.0
525,Model_403,0.0
526,Model_404,0.0
253,Model_101,0.0
528,Model_406,0.0
529,Model_407,0.0
511,Model_387,0.0
510,Model_386,0.0
509,Model_385,0.0
508,Model_384,0.0
489,Model_362,0.0
490,Model_363,0.0
491,Model_364,0.0
492,Model_365,0.0
493,Model_367,0.0
267,Model_115,0.0
264,Model_112,0.0
496,Model_370,0.0
497,Model_371,0.0
88,Color_72,0.0
499,Model_373,0.0
500,Model_374,0.0
501,Model_375,0.0
78,Color_24,0.0
505,Model_381,0.0
506,Model_382,0.0
507,Model_383,0.0
530,Model_408,0.0
252,Model_100,0.0
532,Model_410,0.0
554,Model_434,0.0
109,Brand_4,0.0
557,Model_437,0.0
558,Model_438,0.0
559,Model_439,0.0
560,Model_442,0.0
236,Model_84,0.0
235,Model_83,0.0
563,Model_445,0.0
233,Model_81,0.0
565,Model_448,0.0
566,Model_449,0.0
567,Model_450,0.0
568,Model_451,0.0
232,Model_80,0.0
570,Model_453,0.0
571,Model_455,0.0
572,Model_456,0.0
555,Model_435,0.0
552,Model_432,0.0
533,Model_411,0.0
238,Model_86,0.0
534,Model_412,0.0
535,Model_413,0.0
536,Model_414,0.0
537,Model_415,0.0
538,Model_416,0.0
539,Model_417,0.0
250,Model_98,0.0
541,Model_419,0.0
542,Model_420,0.0
543,Model_421,0.0
93,Color_91,0.0
244,Model_92,0.0
546,Model_424,0.0
547,Model_425,0.0
243,Model_91,0.0
549,Model_428,0.0
240,Model_88,0.0
108,Color_210,0.0
