ad_id,region_id,ad_price,numpictures,proseller,adoldness,mileage,clime_id,shifter,person_capacity,doorsnumber,color,brand_id,model_id,ccm,highlighted,antiguedad,category_id,msrp,car_type_id,weight,fuel_tank,boot_capacity,fuel,environmental_id,cylinders,drive_id,consump_mixed,top_speed,acceleration,torque,power
15510231,12,399000,9,1,16,211997,1,14,5,5,131,18,171,1360,0,6485,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
15544941,3,385000,4,0,8,165645,2,14,5,5,40,18,171,1360,0,6310,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
15286859,19,111000,8,1,33,92524,1,14,5,3,20,31,133,1299,0,7678,4,2169000.0,6,988.0,42.0,250.0,0,7,4.0,1,6.9,155.0,15.9,103.0,60.0
15286899,8,395000,11,1,70,157913,4,14,5,5,130,70,153,1360,0,6248,4,2870000.0,6,970.0,50.0,245.0,0,3,4.0,1,6.6,170.0,13.2,111.0,75.0
15286906,7,3690000,6,1,31,2,2,15,5,4,10,29,430,1368,1,8,1,3755000.0,12,1150.0,45.0,520.0,0,7,4.0,1,6.3,182.0,11.5,127.0,95.0
15395164,3,3690000,12,1,4,1,2,15,5,4,10,29,430,1368,1,43864,1,3755000.0,12,1150.0,45.0,520.0,0,7,4.0,1,6.3,182.0,11.5,127.0,95.0
15286936,4,1490000,11,1,72,135000,2,14,5,5,22,44,28,1396,0,43837,1,4490000.0,9,1317.0,53.0,534.0,0,4,4.0,1,6.3,187.0,11.7,137.0,109.0
15361234,17,1399999,8,1,12,177700,2,14,5,5,132,44,28,1396,1,4289,1,4490000.0,9,1317.0,53.0,534.0,0,4,4.0,1,6.3,187.0,11.7,137.0,109.0
15363066,20,1399999,6,0,52,140000,2,14,5,5,190,44,28,1396,0,4379,1,4490000.0,9,1317.0,53.0,534.0,0,4,4.0,1,6.3,187.0,11.7,137.0,109.0
15434447,4,1490000,12,1,36,161929,2,14,5,5,20,44,28,1396,0,4336,1,4490000.0,9,1317.0,53.0,534.0,0,4,4.0,1,6.3,187.0,11.7,137.0,109.0
15540841,17,1399999,7,1,10,177700,2,14,5,5,132,44,28,1396,0,4331,1,4490000.0,9,1317.0,53.0,534.0,0,4,4.0,1,6.3,187.0,11.7,137.0,109.0
15287036,3,2790000,12,1,31,94749,4,14,5,5,10,66,418,1598,1,2748,4,4180000.0,9,1196.0,46.0,251.0,0,5,4.0,1,6.0,178.0,11.0,158.0,117.0
15492165,20,2500000,4,0,22,156743,1,11,5,5,0,66,418,0,0,3225,4,4180000.0,9,1196.0,46.0,251.0,0,5,4.0,1,6.0,178.0,11.0,158.0,117.0
15287038,7,10900000,12,1,107,94578,5,27,4,2,190,13,93,2993,0,43838,8,26280000.0,3,1795.0,70.0,460.0,3,5,6.0,4,5.8,250.0,5.2,630.0,313.0
15287048,3,8190000,8,1,33,10,5,25,5,5,10,69,21,1490,0,43837,6,10010000.0,6,1472.0,62.0,490.0,0,7,4.0,1,6.1,218.0,9.4,250.0,165.0
15342235,3,8451000,6,1,15,10,5,25,5,5,22,69,21,1490,0,43851,6,10010000.0,6,1472.0,62.0,490.0,0,7,4.0,1,6.1,218.0,9.4,250.0,165.0
15518711,3,8185400,8,1,52,6,5,25,5,5,10,69,21,1490,0,43893,6,10010000.0,6,1472.0,62.0,490.0,0,7,4.0,1,6.1,218.0,9.4,250.0,165.0
15686727,3,8185400,11,1,1,0,5,25,5,5,10,69,21,1490,1,43943,6,10010000.0,6,1472.0,62.0,490.0,0,7,4.0,1,6.1,218.0,9.4,250.0,165.0
15287083,10,598000,12,1,53,151000,2,14,5,5,40,31,166,1560,0,5846,2,4615000.0,5,1390.0,55.0,460.0,3,3,4.0,1,4.9,185.0,11.3,245.0,109.0
15399906,2,1090000,10,0,1,254000,2,14,5,5,130,31,166,1560,1,5210,2,4615000.0,5,1390.0,55.0,460.0,3,3,4.0,1,4.9,185.0,11.3,245.0,109.0
